label,total_appearances,dominant_class,dominant_pct,buildings,buildings_pct,forest,forest_pct,glacier,glacier_pct,mountain,mountain_pct,sea,sea_pct,street,street_pct
borzoi,14,sea,50.0,0,0.0,0,0.0,6,42.86,1,7.14,7,50.0,0,0.0
African crocodile,6,sea,50.0,0,0.0,1,16.67,1,16.67,1,16.67,3,50.0,0,0.0
loggerhead,26,sea,50.0,0,0.0,0,0.0,8,30.77,5,19.23,13,50.0,0,0.0
folding chair,10,sea,50.0,2,20.0,1,10.0,0,0.0,0,0.0,5,50.0,2,20.0
plate rack,2,sea,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
Rhodesian ridgeback,2,sea,50.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0
terrapin,2,sea,50.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0
Indian cobra,4,sea,50.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0
miniature pinscher,2,sea,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
Scotch terrier,2,sea,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
drilling platform,197,sea,46.7,51,25.89,1,0.51,30,15.23,3,1.52,92,46.7,20,10.15
liner,143,sea,46.15,47,32.87,0,0.0,11,7.69,2,1.4,66,46.15,17,11.89
beacon,356,sea,46.07,99,27.81,6,1.69,24,6.74,41,11.52,164,46.07,22,6.18
barracouta,18,sea,44.44,0,0.0,5,27.78,4,22.22,0,0.0,8,44.44,1,5.56
leatherback turtle,80,sea,43.75,0,0.0,0,0.0,23,28.75,21,26.25,35,43.75,1,1.25
Greater Swiss Mountain dog,7,sea,42.86,0,0.0,2,28.57,2,28.57,0,0.0,3,42.86,0,0.0
kelpie,14,sea,42.86,0,0.0,4,28.57,1,7.14,2,14.29,6,42.86,1,7.14
vizsla,7,sea,42.86,0,0.0,2,28.57,1,14.29,0,0.0,3,42.86,1,14.29
sarong,64,sea,42.19,0,0.0,18,28.12,7,10.94,3,4.69,27,42.19,9,14.06
canoe,211,sea,40.28,3,1.42,63,29.86,27,12.8,25,11.85,85,40.28,8,3.79
bucket,10,sea,40.0,0,0.0,2,20.0,1,10.0,0,0.0,4,40.0,3,30.0
Old English sheepdog,5,sea,40.0,0,0.0,0,0.0,0,0.0,1,20.0,2,40.0,2,40.0
fireboat,204,sea,39.71,44,21.57,1,0.49,62,30.39,7,3.43,81,39.71,9,4.41
container ship,126,sea,39.68,46,36.51,0,0.0,18,14.29,0,0.0,50,39.68,12,9.52
promontory,1601,sea,38.54,8,0.5,41,2.56,430,26.86,475,29.67,617,38.54,30,1.87
malamute,13,sea,38.46,0,0.0,4,30.77,3,23.08,1,7.69,5,38.46,0,0.0
paddlewheel,47,sea,38.3,15,31.91,0,0.0,8,17.02,3,6.38,18,38.3,3,6.38
gong,3,sea,33.33,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0
lakeside,2211,sea,31.21,201,9.09,579,26.19,306,13.84,289,13.07,690,31.21,146,6.6
groom,10,sea,30.0,0,0.0,1,10.0,2,20.0,1,10.0,3,30.0,3,30.0
web site,17,sea,29.41,4,23.53,0,0.0,5,29.41,1,5.88,5,29.41,2,11.76
magnetic compass,2,street,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0
